N,K,eta,p,max_qfi,coeffs,combinations
3,2,0.9,0.8,11.933491516837494,"0.6140864382246872,2.3103752126030204e-05,7.334577140795815e-05,0.5580754833127487,2.3115485745261706e-05,1.1040610027127529e-05,0.0,7.338939666891824e-05,0.0,0.558076794689412","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,1.0,11.884191272773489,"0.6136949748525381,1.5537628725379668e-05,0.00012056267512248572,0.5582882281318983,1.5555690874784728e-05,6.326240407619833e-05,1.901738513408953e-21,0.00012060774665096494,1.5493999621397106e-21,0.5582945397372706","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.0,13.970967036660479,"0.6323731833675389,8.405272562499104e-05,0.00013635528725835909,0.5477704920707437,8.407200933026703e-05,5.421010862427522e-20,1.1842065656578629e-17,0.0001363455111963145,0.0,0.5477698447218853","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.2,13.752994716735351,"0.6312406108101076,0.00020460871573992062,0.00013922079329737962,0.5484227215223638,0.00020461629002084663,3.3301621514469134e-05,7.986852580180347e-18,0.00013922497745978636,1.8405505507684312e-17,0.548423391926413","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.4,13.583605877696101,"0.6303128286930444,5.259912418267435e-05,0.00014332380048392757,0.5489578524738609,5.25793720837127e-05,1.680526672870233e-05,9.976850511580233e-18,0.0001433428325222075,2.1194911418243085e-18,0.5489553318236765","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.6,13.463049011426671,"0.6295886347747237,0.00011815150892875014,0.00013848979210833234,0.5493713027857781,0.00011820788953666212,0.00013775215575032794,2.790126720405977e-18,0.00013844332212877992,8.721709843461163e-19,0.5493720154546429","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.8,13.38957325226772,"0.6291852953254236,6.646218614928257e-05,0.00012356996785364144,0.5496011783283118,6.645619835326543e-05,0.00011155526896696613,3.012767308304353e-18,0.0001235756527439153,2.5573348056320417e-18,0.5496039637724881","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,1.0,13.365487989350832,"0.6289551333568292,0.0,5.703127084880022e-05,0.5497340453453288,3.336121192415796e-20,6.009793008156456e-05,0.0,5.703131226734586e-05,0.0,0.5497347172704027","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.0,14.914320934044277,"0.6434572652318348,8.228129030288077e-20,8.344537641058223e-05,0.5412785623630906,1.1367276324726745e-19,5.411315414227604e-05,7.441632047840277e-05,8.34193449878399e-05,7.44172005442132e-05,0.5412771755036188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.2,14.91432102879237,"0.6434572603585471,2.9965116585488924e-20,8.340604087282933e-05,0.5412778073723488,0.0,5.411942373581435e-05,7.437026065558434e-05,8.340944208139249e-05,7.436145478577284e-05,0.541277936443316","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
