N,K,eta_vec,p,max_qfi,total_variance,coeffs,combinations
3,2,"[np.float64(0.4), np.float64(0.4)]",0.3,3.4035380607055576,1.6200566199763253,"9.868145593749413e-17,0.3294578274327648,0.0,0.6256593390395684,0.329421603506197,4.868001802946697e-05,0.0,0.0,0.0,0.6256911085085258","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.4,3.0727582377313327,1.6838158858824932,"0.0,0.3511894450203459,9.876449810605796e-05,0.6137325682095963,0.35120004610974936,6.443580166979734e-16,5.88019940774523e-16,0.0,6.166213585364538e-16,0.6137239340704767","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.5,2.772056777115205,1.7792189838120613,"2.3846677578341473e-05,0.3732650112762074,3.717389779849749e-05,0.6005596710231463,0.3732693436339919,0.0,4.991812695441411e-17,3.207242210576101e-05,7.611212819926044e-17,0.6005592175327525","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.6,2.503185319272082,1.9089737088220144,"1.542060749926133e-15,0.39503139799838993,9.195599209010463e-06,0.5864660117664855,0.395044558115268,0.0,0.0,1.9788812285899236e-05,0.0,0.5864709883404317","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.7,2.179989685862919,4.8937385702826806,"3.820867837349585e-05,0.25466170410914835,8.30211258082729e-05,0.4992473805796629,0.254660163119395,1.681211426658319e-05,0.43116004903254473,7.674189547643874e-05,0.43116241575242836,0.4992471255851667","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.8,2.34211826465281,4.168647404587193,"4.1504614415460717e-20,0.2649867272284184,3.1162863551574904e-05,0.4642683054155252,0.26515056911770774,9.54497664273713e-06,0.4628198358791513,4.216045904520934e-05,0.462820586111348,0.46424897996745773","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",0.9,2.5399823750233805,3.26094072824296,"6.86868412518002e-05,0.28638370815788594,3.1190813736966716e-05,0.44192608961812613,0.28634131347362596,4.913800440161034e-05,0.4719185377696067,4.913095859002364e-05,0.47191817848083384,0.44190577586697954","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.4), np.float64(0.4)]",1.0,2.7684764063032077,2.597225312395416,"0.0001244788694097652,0.3056532092603254,2.132715944804388e-05,0.42851833087851793,0.30560130120086865,1.567041719742502e-05,0.4721870673245316,2.333958896321794e-05,0.4721911991453562,0.4285218689953983","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.1,5.384044880899301,0.18573396435598977,"0.0,0.0,0.0,0.7071071057199638,0.0,2.759580402595307e-18,0.0,0.0,7.338891509780943e-17,0.707106863193508","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.2,4.85673290255471,42460344483505.28,"9.757607794132726e-18,0.0,1.3664320546886113e-07,0.7071067843764253,0.0,0.0,2.88336235073653e-16,2.4824722280028166e-17,0.0,0.7071067779969378","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.3,4.584525716947213,1.766103280574131,"0.318348241386816,6.874085611881231e-06,0.0,0.670318417409782,0.0,6.518833990977323e-06,1.336899557586574e-16,6.921887338688509e-07,0.0,0.6703190491684575","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.4,4.204026907146398,1.479010513576972,"1.0093752819250595e-16,0.3276967808351007,7.489357296750493e-05,0.6265940732797215,0.32764470110312965,5.9520140563662746e-05,0.0,4.8350832341552475e-05,0.0,0.6266129254565447","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.5,3.896424174623734,1.464173878798507,"0.0,0.35449601191330515,0.0,0.6118176125388424,0.35450328603953707,2.571854940535841e-05,0.0,0.0,4.99270698631465e-16,0.6118326912344885","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.6,3.6320621736274172,1.490325008516169,"0.0001303567298615353,0.37663184437469316,5.295342003422903e-05,0.598445273345721,0.3766164626102658,2.585774262013405e-18,0.0,0.0001558288793674454,6.240727866763036e-17,0.5984746870028048","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.7,3.4085986272259685,1.542684699084452,"0.0,0.3945452895375452,2.6455832270902093e-15,0.5868013294230343,0.3945730165725918,0.0,0.0,1.1674265734604969e-15,0.0,0.5867799903948926","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.8,3.350680898561162,2.8846792502759606,"0.2968867232233189,0.0,0.0,0.5267295353050654,2.710505431213761e-20,2.0986439523577383e-06,0.4224751085597912,0.0,0.42247626748592454,0.5267285338505872","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",0.9,3.555353209320865,2.232513935343715,"0.32218189197420627,0.0,3.031546687247627e-05,0.5016220011938695,1.1164513245961834e-05,1.2542446373917387e-05,0.4432537089868546,0.0,0.4432548214881682,0.5016228764135751","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.5), np.float64(0.5)]",1.0,3.8189239030376445,1.765484307306938,"0.3434745795883228,2.9190458029164398e-05,2.439454888092385e-19,0.484566703893131,0.0,0.0,0.45410067364414647,1.1028810681864415e-05,0.4540994703376234,0.48456856336045206","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.1,7.167895213352379,0.13951096803664154,"9.324138683375338e-18,1.5867167364458836e-17,2.209803164133191e-16,0.7071068611070871,2.4765390757460147e-17,0.0,1.3183381834253295e-16,1.6171453458728453e-18,0.0,0.7071070373425403","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.2,6.570842560081184,532236.2687021547,"0.0003708784544604241,0.0,1.692875156933003e-05,0.7071075653606058,0.0,0.0,8.86060957712618e-17,2.193206327315747e-05,0.0,0.707105984032075","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.3,6.023161523889186,4491573817014.035,"0.0,9.432308179348797e-17,4.1214668925104675e-07,0.7071068844928834,0.0,2.251519452920337e-19,0.0,8.769437982042178e-20,2.233891530781456e-16,0.7071069781318441","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.4,5.525610619865719,2312654928295.656,"0.0,4.6470917788651676e-17,2.814411308354087e-07,0.7071067863893492,0.0,4.4967777496741233e-07,0.0,2.2186696727789488e-07,0.0,0.7071067759839891","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.5,5.081136152860539,25755186874.518715,"0.0,2.5207153132393925e-06,5.403907232599322e-07,0.7071068758696188,4.893665518114378e-07,0.0,3.886885430071108e-18,7.224979281842368e-18,6.530403281555105e-17,0.7071070113018992","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.6,5.271959541610205,1.0262557721580514,"0.389630252985075,0.00015517840711053984,9.82800916553694e-05,0.6512429526048649,6.109801200673727e-06,1.2882266975718202e-17,0.0,5.071257709690668e-06,0.0,0.6512073857220507","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.6), np.float64(0.6)]",0.7,4.996202882203878,1.0288995300501187,"0.3993981377121384,9.371686045400629e-05,0.00010368340545039237,0.6482583198112747,0.00043222572416411317,0.0,4.082092214941484e-13,0.00028928099777414276,4.2723853783387766e-13,0.6482608898969773","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
